_measurement,context_id,_metric_report,_time,_value
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:13Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:17Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:22Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:27Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:32Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:36Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:41Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:46Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:51Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:55Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:00Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:05Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:10Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:14Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:19Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:24Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:29Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:33Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:38Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:43Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:48Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:52Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:10:57Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:02Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:07Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:11Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:16Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:21Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:26Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:30Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:35Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:40Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:45Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:49Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:54Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:11:59Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:04Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:08Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:13Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:18Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:23Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:27Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:32Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:37Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:41Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:46Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:51Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:12:56Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:00Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:05Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:10Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:15Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:19Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:24Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:29Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:34Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:38Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:43Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:48Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:53Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:13:57Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:14:02Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:14:07Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:14:12Z,0
